reg,lpo,sim
1,5.9445945945945935,53
1,5.95081081081081,53
1,5.957027027027026,53
1,5.963243243243243,53
1,5.9694594594594586,53
1,5.975675675675675,53
1,5.981891891891891,53
1,5.988108108108108,53
1,5.994324324324324,53
1,6.000540540540539,53
1,6.006756756756756,53
1,6.012972972972972,53
1,6.019189189189189,53
1,6.0254054054054045,53
1,6.031621621621621,53
1,6.037837837837837,53
1,6.044054054054054,53
1,6.0502702702702695,53
1,6.056486486486485,53
1,6.062702702702702,53
1,6.068918918918918,53
1,6.075135135135135,53
1,6.08135135135135,53
1,6.087567567567567,53
1,6.093783783783783,53
1,6.1,53
1,6.1062162162162155,53
1,6.112432432432431,53
1,6.118648648648648,53
1,6.124864864864864,53
1,6.1310810810810805,53
1,6.137297297297296,53
1,6.143513513513513,53
1,6.149729729729729,53
1,6.155945945945946,53
1,6.162162162162161,53
1,6.168378378378377,53
1,6.174594594594594,53
1,6.18081081081081,53
1,6.1870270270270264,53
1,6.193243243243242,53
1,6.199459459459459,53
1,6.205675675675675,53
1,6.2118918918918915,53
1,6.218108108108107,53
1,6.224324324324323,53
1,6.23054054054054,53
1,6.236756756756756,53
1,6.242972972972972,53
1,6.249189189189188,53
1,6.255405405405405,53
1,6.261621621621621,53
1,6.267837837837837,53
1,6.274054054054053,53
1,6.280270270270269,53
1,6.286486486486486,53
1,6.292702702702702,53
1,6.298918918918918,53
1,6.305135135135134,53
1,6.311351351351351,53
1,6.317567567567567,53
1,6.323783783783783,53
1,6.329999999999999,53
1,6.336216216216215,53
1,6.342432432432432,53
1,6.3486486486486475,53
1,6.354864864864864,53
1,6.36108108108108,53
1,6.367297297297297,53
1,6.373513513513513,53
1,6.379729729729729,53
1,6.385945945945945,53
1,6.392162162162161,53
1,6.398378378378378,53
1,6.4045945945945935,53
1,6.41081081081081,53
1,6.417027027027026,53
1,6.423243243243243,53
1,6.4294594594594585,53
1,6.435675675675675,53
1,6.441891891891891,53
1,6.448108108108107,53
1,6.454324324324324,53
1,6.460540540540539,53
1,6.466756756756756,53
1,6.472972972972972,53
1,6.479189189189189,53
1,6.4854054054054044,53
1,6.491621621621621,53
1,6.497837837837837,53
1,6.504054054054053,53
1,6.5102702702702695,53
1,6.516486486486485,53
1,6.522702702702702,53
