reg,conc,sim
1,2.7162162162162162,9097
1,2.720720720720721,9097
1,2.725225225225225,9097
1,2.72972972972973,9097
1,2.734234234234234,9097
1,2.7387387387387387,9097
1,2.7432432432432434,9097
1,2.7477477477477477,9097
1,2.7522522522522523,9097
1,2.7567567567567566,9097
1,2.7612612612612613,9097
1,2.765765765765766,9097
1,2.77027027027027,9097
1,2.774774774774775,9097
1,2.779279279279279,9097
1,2.7837837837837838,9097
1,2.7882882882882885,9097
1,2.7927927927927927,9097
1,2.7972972972972974,9097
1,2.8018018018018016,9097
1,2.8063063063063063,9097
1,2.810810810810811,9097
1,2.815315315315315,9098
1,2.81981981981982,9098
1,2.824324324324324,9098
1,2.828828828828829,9098
1,2.8333333333333335,9098
1,2.8378378378378377,9098
1,2.8423423423423424,9098
1,2.8468468468468466,9098
1,2.8513513513513513,9098
1,2.855855855855856,9098
1,2.8603603603603602,9098
1,2.864864864864865,9098
1,2.869369369369369,9098
1,2.873873873873874,9098
1,2.8783783783783785,9098
1,2.8828828828828827,9098
1,2.8873873873873874,9098
1,2.8918918918918917,9098
1,2.8963963963963963,9098
1,2.900900900900901,9098
1,2.9054054054054053,9098
1,2.90990990990991,9098
1,2.914414414414414,9098
1,2.918918918918919,9098
1,2.9234234234234235,9098
1,2.9279279279279278,9098
1,2.9324324324324325,9098
1,2.9369369369369367,9098
1,2.9414414414414414,9098
1,2.945945945945946,9098
1,2.9504504504504503,9098
1,2.954954954954955,9098
1,2.9594594594594597,9098
1,2.963963963963964,9098
1,2.9684684684684686,9098
1,2.972972972972973,9098
1,2.9774774774774775,9098
1,2.981981981981982,9098
1,2.9864864864864864,9098
1,2.990990990990991,9098
1,2.9954954954954953,9098
1,3,9098
1,3.0045045045045047,9098
1,3.009009009009009,9098
1,3.0135135135135136,9098
1,3.018018018018018,9098
1,3.0225225225225225,9098
1,3.027027027027027,9098
1,3.0315315315315314,9098
1,3.036036036036036,9098
1,3.0405405405405403,9098
1,3.045045045045045,9098
1,3.0495495495495497,9098
1,3.054054054054054,9098
1,3.0585585585585586,9098
1,3.063063063063063,9098
1,3.0675675675675675,9098
1,3.0720720720720722,9098
1,3.0765765765765765,9098
1,3.081081081081081,9098
1,3.0855855855855854,9098
1,3.09009009009009,9098
1,3.0945945945945947,9098
1,3.099099099099099,9098
1,3.1036036036036037,9098
1,3.108108108108108,9098
1,3.1126126126126126,9098
1,3.1171171171171173,9098
1,3.1216216216216215,9098
1,3.126126126126126,9098
1,3.1306306306306304,9098
1,3.135135135135135,9098
1,3.1396396396396398,9098
1,3.144144144144144,9098
1,3.1486486486486487,9098
1,3.153153153153153,9098
1,3.1576576576576576,9098
1,3.1621621621621623,9098
1,3.1666666666666665,9098
1,3.171171171171171,9098
1,3.1756756756756754,9098
1,3.18018018018018,9098
1,3.184684684684685,9098
1,3.189189189189189,9098
1,3.1936936936936937,9098
1,3.198198198198198,9098
1,3.2027027027027026,9098
1,3.2072072072072073,9098
1,3.2117117117117115,9098
1,3.2162162162162162,9098
1,3.220720720720721,9098
1,3.225225225225225,9098
1,3.22972972972973,9098
1,3.234234234234234,9098
1,3.2387387387387387,9098
1,3.2432432432432434,9098
1,3.2477477477477477,9098
1,3.2522522522522523,9098
1,3.2567567567567566,9098
1,3.2612612612612613,9098
1,3.265765765765766,9098
1,3.27027027027027,9098
1,3.274774774774775,9098
1,3.279279279279279,9098
1,3.2837837837837838,9098
1,3.2882882882882885,9098
1,3.2927927927927927,9098
1,3.2972972972972974,9098
1,3.3018018018018016,9098
1,3.3063063063063063,9098
1,3.310810810810811,9098
1,3.315315315315315,9098
1,3.31981981981982,9098
1,3.324324324324324,9098
1,3.328828828828829,9098
1,3.3333333333333335,9098
1,3.3378378378378377,9098
1,3.3423423423423424,9098
1,3.3468468468468466,9098
1,3.3513513513513513,9098
1,3.355855855855856,9098
1,3.3603603603603602,9098
1,3.364864864864865,9098
1,3.369369369369369,9098
1,3.373873873873874,9098
1,3.3783783783783785,9098
1,3.3828828828828827,9098
1,3.3873873873873874,9098
1,3.3918918918918917,9098
1,3.3963963963963963,9098
1,3.400900900900901,9098
1,3.4054054054054053,9098
1,3.40990990990991,9098
1,3.414414414414414,9098
1,3.418918918918919,9098
1,3.4234234234234235,9098
1,3.4279279279279278,9098
1,3.4324324324324325,9098
1,3.4369369369369367,9098
1,3.4414414414414414,9098
1,3.445945945945946,9098
1,3.4504504504504503,9098
1,3.454954954954955,9098
1,3.4594594594594597,9098
1,3.463963963963964,9098
1,3.4684684684684686,9098
1,3.472972972972973,9098
1,3.4774774774774775,9098
1,3.481981981981982,9098
1,3.4864864864864864,9098
1,3.490990990990991,9098
1,3.4954954954954953,9098
1,3.5,9098
1,3.5045045045045047,9098
1,3.509009009009009,9098
1,3.5135135135135136,9098
1,3.518018018018018,9098
1,3.5225225225225225,9098
1,3.527027027027027,9098
1,3.5315315315315314,9098
1,3.536036036036036,9098
1,3.5405405405405403,9098
1,3.545045045045045,9098
1,3.5495495495495497,9098
1,3.554054054054054,9098
1,3.5585585585585586,9098
1,3.563063063063063,9098
1,3.5675675675675675,9098
1,3.5720720720720722,9098
1,3.5765765765765765,9098
1,3.581081081081081,9098
1,3.5855855855855854,9098
1,3.59009009009009,9098
1,3.5945945945945947,9098
1,3.599099099099099,9098
1,3.6036036036036037,9098
1,3.608108108108108,9098
1,3.6126126126126126,9098
